iter	Logloss
213	0.1459305822
214	0.1453154679
215	0.1447319678
216	0.1442131108
217	0.1437968308
218	0.1433560939
219	0.1429220	0.1220	0.1423594032
221	0.1418166083
222	0.141223	0.13223	0.1409249154
224	0.140626784
225	0.1402158797
226	0.1396815271
227	0.1391290107
228	0.1385583205
229	0.1380834218
230	0.1374494629
231	0.1370076903
232	0.1365456285
233	0.1361120301
234	0.1357104067
235	0.1352420896
236	0.134794309
237	0.1341614545
238	0.1337167391
239	0.1332267113
240	0.1325161725
241	0.1320467833
242	0.131411638
243	0.1310493838
244	0.130752723
245	0.1304250845
246	0.1300301279
247	0.1296096676
248	0.1292175919
249	0.1287596771
250	0.1283667915
251	0.1278952515
252	0.1276393902
253	0.1269572903
254	0.1266569116
255	0.1259957177
256	0.1256697053
257	0.1253726921
258	0.1248927374
259	0.1244749293
260	0.1241715345
261	0.1238174118
262	0.1233099106
263	0.123061264	0264	0.1225701899
265	0.122125742
266	0.1218099952
267	0.1213017609
268	0.1209781658
269	0.1204481839
270	0.1199682424
271	0.1193161803
272	0.1190175249
273	0.1187574338
274	0.1184041562
275	0.1177682007
276	0.1173817714
277	0.1169833257
278	0.1165944573
279	0.1161935732
280	0.1157293641
281	0.1153768718
282	0.1150567736
283	0.1145662691
284	0.1142536503
285	0.1137384707
286	0.1134251448
287	0.113091345
288	0.1127861641
289	0.1124039934
290	0.1120585336
291	0.1117258401
292	0.1112975357
293	0.1109064146
294	0.1106406133
295	0.1103366632
296	0.1100112217
297	0.109673502
298	0.1093607099
299	0.1090210477
300	0.1083838796
301	0.1080490793
302	0.1075882141
303	0.1070714604
304	0.1066769846
305	0.1063521651
306	0.1059863615
307	0.1056119324
308	0.1053219318
309	0.1049703301
310	0.1046475974
311	0.1043117205
312	0.1039828851
313	0.1037488717
314	0.1034661336
315	0.1031874192
316	0.1029333772
317	0.1026363502
318	0.1023984896
319	0.1019852645
320	0.1014946877
321	0.1012101251
322	0.100768063
323	0.1004629416
324	0.1001775775
325	0.09976580783
326	0.09931658368
327	0.09901775247
328	0.0985816995
329	0.09834570986
330	0.09813559746
331	0.09781240259
332	0.09740340225
333	0.09699931105
334	0.09676608166
335	0.09631217578
336	0.09603843888
337	0.09562070353
338	0.09540315507
339	0.09504090337
340	0.09474798941
341	0.09450182388
342	0.09401917777
343	0.09365441206
344	0.09344480614
345	0.09319925742
346	0.09293511641
347	0.09265710914
348	0.09235060469
349	0.09214231845
350	0.09192368357
351	0.09167491872
352	0.09131712666
353	0.09109528739
354	0.09093501701
355	0.09065408961
356	0.09045763287
357	0.09024211899
358	0.09002429871
359	0.08987442526
360	0.08957296222
361	0.08916612396
362	0.08894843237
363	0.08880226683
364	0.08861588314
365	0.08835572137
366	0.08815465243
367	0.08784017345
368	0.08747767368
369	0.08721163597
370	0.08684229251
371	0.08657136706
372	0.08617697091
373	0.08592647667
374	0.08566016835
375	0.08529199032
376	0.08504860424
377	0.08474953083
378	0.08435299956
379	0.08398097116
380	0.08376923639
381	0.08353708061
382	0.08332535695
383	0.08315842401
384	0.0830110959
385	0.08283801354
386	0.08265832423
387	0.08247076415
388	0.08232471727
389	0.0822174975
390	0.08205094169
391	0.0818626266
392	0.08161525323
393	0.0813386214
394	0.08116146296
395	0.08102294659
396	0.08074472389
397	0.08044318238
398	0.08027659074
399	0.08003899307
400	0.07980987977
401	0.07959081975
402	0.07932886255
403	0.07917684002
404	0.0789391765
405	0.07862306137
406	0.0784057907
407	0.07823298392
408	0.07789893913
409	0.07765711391
410	0.07748300856
411	0.0771453316
412	0.0768761355
413	0.07668028454
414	0.0763697821
415	0.07621391226
416	0.07598667544
417	0.07562365795
418	0.07542080816
419	0.0751835641
420	0.07484840937
421	0.07463454998
422	0.07433969086
423	0.07416597923
424	0.07400555305
425	0.07380433415
426	0.07353132453
427	0.07329901265
428	0.07315895958
429	0.07295059906
430	0.07280244824
431	0.07263341382
432	0.07245839953
433	0.07218988809
434	0.07201285982
435	0.0718359858
436	0.07146715514
437	0.07119180369
438	0.07098751123
439	0.07074158236
440	0.0705574157
441	0.07037766991
442	0.07018126977
443	0.06997489197
444	0.06980185241
445	0.06961114078
446	0.06948295677
447	0.06926522503
448	0.06909620425
449	0.06890237236
450	0.06876114342
451	0.06862107009
452	0.06848316389
453	0.06834043905
454	0.06815714422
455	0.06802033951
456	0.06784720193
457	0.06764472864
458	0.06743756559
459	0.0672626985
460	0.06710362521
461	0.06693984325
462	0.06674667675
463	0.06661889258
464	0.06649187832
465	0.06634587632
466	0.06606223766
467	0.06592727106
468	0.0657167736
469	0.06555559345
470	0.06541631313
471	0.06528245983
472	0.06513771256
473	0.06498324987
474	0.06482480788
475	0.06464747768
476	0.06452974474
477	0.0644138631
478	0.06424704591
479	0.06407693038
480	0.06397834832
481	0.06383368055
482	0.06372703767
483	0.06354774739
484	0.0634538423
485	0.06331978603
486	0.06311140893
487	0.06293470152
488	0.06271279418
489	0.06253305628
490	0.06242737027
491	0.06228968642
492	0.06219975504
493	0.06198997077
494	0.0618424209
495	0.0616380655
496	0.06146964323
497	0.06130956475
498	0.06115067209
499	0.06100585091
19
