period,duration,depth,prad,teq,insol,steff,slogg,srad,disposition,is_exoplanet,source,transit_depth_ratio,stellar_density,planet_density,irradiation_ratio,semi_major_axis,temp_ratio,radius_ratio,log_period,log_insol
9.48803557,2.9575,615.8,2.26,793.0,93.59,5455.0,4.467,0.927,CONFIRMED,1,Kepler,272.4778761061947,34106.76522321856,0.12822500040655396,0.11802017654476671,2.06420113622476,0.1453712190650779,2.437971952535059,0.9771763041637123,1.9758452254675671
54.4183827,4.507,874.8,2.83,443.0,9.11,5455.0,4.467,0.927,CONFIRMED,1,Kepler,309.11660777385157,34106.76522321856,0.007653640261451637,0.02056433408577878,3.6949490554689217,0.08120989917506874,3.052858683926645,1.7357456305179244,1.0047511555910011
19.89913995,1.7822,10829.0,14.6,638.0,39.3,5853.0,4.544,0.868,CANDIDATE,0,Kepler,741.7123287671233,46447.308159596316,7.859410170748354,0.061598746081504695,2.5849452192609474,0.10900392960874765,16.82027649769585,1.2988343064076568,1.6053050461411094
1.736952453,2.40641,8079.2,33.46,1395.0,891.96,5805.0,4.564,0.791,FALSE POSITIVE,0,Kepler,241.4584578601315,58566.19821407927,12416.578805176416,0.6393978494623657,1.1117013625153793,0.24031007751937986,42.30088495575221,0.239787930316785,2.950832005172585
2.525591777,1.6545,603.3,2.75,1406.0,926.16,6031.0,4.438,1.046,CONFIRMED,1,Kepler,219.38181818181818,25057.436066448903,3.2604066610189135,0.6587197724039829,1.3823932773296304,0.2331288343558282,2.62906309751434,0.40236315487982993,2.967154686810154
11.09432054,4.5945,1517.5,3.9,835.0,114.81,6046.0,4.486,0.972,CONFIRMED,1,Kepler,389.1025641025641,32409.137259846437,0.4819393661493426,0.13749700598802395,2.209304911989855,0.13810783989414488,4.012345679012346,1.0451007094734261,2.0637460616134433
4.13443512,3.1402,686.0,2.77,1160.0,427.65,6046.0,4.486,0.972,CONFIRMED,1,Kepler,247.65342960288808,32409.137259846437,1.2433887824943477,0.36866379310344827,1.5898670743984533,0.1918623883559378,2.8497942386831276,0.6164161811134099,2.632102828062753
2.56658897,2.429,226.5,1.59,1360.0,807.74,6046.0,4.486,0.972,CONFIRMED,1,Kepler,142.45283018867923,32409.137259846437,0.610209164532313,0.5939264705882353,1.356253471490502,0.2249421104862719,1.6358024691358026,0.4093563235394426,2.9078089236963316
7.36178958,5.022,233.7,39.21,1342.0,767.22,6227.0,3.986,1.958,FALSE POSITIVE,0,Kepler,5.960214231063504,2525.6584814851662,1112.3045838335615,0.571698956780924,2.4336905877255224,0.21551308816444517,20.025536261491318,0.8669833999687198,2.885485609489626
16.06864674,3.5347,4914.3,5.76,600.0,30.75,5031.0,4.485,0.848,CONFIRMED,1,Kepler,853.1770833333334,42482.326801346055,0.7401314246874962,0.05125,2.388498934044417,0.11926058437686345,6.7924528301886795,1.20597930314183,1.5017437296279945
2.470613377,1.74319,14230.9,13.04,1339.0,761.46,5820.0,4.457,0.964,CONFIRMED,1,Kepler,1091.3266871165645,30820.943702615532,363.26469953008757,0.5686781179985064,1.3354488982949735,0.23006872852233676,13.526970954356846,0.39280478855357276,2.882217064759879
2.204735417,3.88864,6674.7,16.1,2048.0,4148.92,6440.0,4.019,1.952,CONFIRMED,1,Kepler,414.57763975155274,2741.8290488653934,858.5481776382284,2.02583984375,1.6265924944230685,0.31801242236024846,8.247950819672132,0.3433564786875625,3.6180397246895786
3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,4.169,1.451,CONFIRMED,1,Kepler,626.8471555860178,7009.14710915352,250.30196525450586,0.8314727153188692,1.7225535826325997,0.24433734939759036,10.055134390075809,0.5468508080903272,3.102320486201831
3.709214104,2.6302,131.1,1.16,1206.0,500.46,5833.0,4.407,1.022,CONFIRMED,1,Kepler,113.01724137931035,24439.831559518836,0.11345147921196304,0.41497512437810946,1.5592326949590285,0.20675467169552547,1.1350293542074363,0.5692819024852765,2.7002362963352886
11.521446064,3.6399,17984.3,150.51,753.0,75.88,5795.0,4.554,0.848,FALSE POSITIVE,0,Kepler,119.4890704936549,49797.58659423898,25685.14874313213,0.10077025232403718,2.1378026665619063,0.12993960310612598,177.4882075471698,1.0615069910839454,1.8858133746604888
19.40393776,12.2155,8918.7,7.18,523.0,17.69,5043.0,4.591,0.68,FALSE POSITIVE,0,Kepler,1242.1587743732591,84330.01441966771,0.9830906981544568,0.033824091778202676,2.3630138215152856,0.10370811025183423,10.558823529411763,1.2878898729148638,1.271609301378832
19.221388942,4.79843,74284.0,49.29,698.0,55.97,6117.0,4.496,0.947,FALSE POSITIVE,0,Kepler,1507.080543720836,34938.16101662215,324.1208141229738,0.0801862464183381,2.630540031272488,0.11410822298512342,52.04857444561774,1.2837847666858937,1.75564621945668
16.46983774,9.4378,10478.9,7.94,595.0,29.61,5152.0,4.517,0.786,FALSE POSITIVE,0,Kepler,1319.7607052896724,53229.80901073871,1.8453674936326208,0.04976470588235294,2.348031698087706,0.11548913043478261,10.101781170483461,1.2166893205437823,1.4858633295973347
9.27358173,3.2875,1288.3,2.47,649.0,41.85,4856.0,4.583,0.696,CONFIRMED,1,Kepler,521.578947368421,79028.0963710577,0.17522491262027945,0.06448382126348229,1.8618824049954514,0.1336490939044481,3.5488505747126444,0.9672475038468836,1.631950826259217
6.02930329,1.5821,1912.7,2.85,678.0,50.04,4537.0,4.648,0.672,CONFIRMED,1,Kepler,671.1228070175439,98460.36783170093,0.6367959884442204,0.07380530973451327,1.5942097756322404,0.1494379545955477,4.241071428571429,0.7802671305829673,1.7079106657131058
